"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67516","test_search_by_tv_episodes_category[chromium]","tests.search_bar","Wed Aug 06 11:22:55 GMT 2025","broken","Wed Aug 06 11:24:02 GMT 2025","TestSearchByTvEpisodesCategory","search_by_category_tv_episodes_test","",""
"","66646","test_your_profile[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 11:30:05 GMT 2025","broken","Wed Aug 06 11:31:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","66711","test_search_by_celebs_category[chromium]","tests.search_bar","Wed Aug 06 11:24:05 GMT 2025","broken","Wed Aug 06 11:25:11 GMT 2025","TestSearchByCelebsCategory","search_by_celebs_category_test","",""
"","66686","test_search_by_titles_category[chromium]","tests.search_bar","Wed Aug 06 11:27:34 GMT 2025","broken","Wed Aug 06 11:28:40 GMT 2025","TestSearchByTitlesCategory","search_by_titles_category_test","",""
"","66960","test_titles_search1[chromium]","tests.search_bar.advanced_search","Wed Aug 06 11:18:18 GMT 2025","broken","Wed Aug 06 11:19:25 GMT 2025","TestTitlesSearch1","titles_search1_test","",""
"","66951","test_sign_in[chromium]","tests.sign_in","Wed Aug 06 11:28:56 GMT 2025","broken","Wed Aug 06 11:30:03 GMT 2025","TestSignIn","sign_in_test","",""
"","60002","test_your_list[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 11:33:12 GMT 2025","broken","Wed Aug 06 11:34:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","6654","test_sign_in_negative_no_password[chromium]","tests.sign_in","Wed Aug 06 11:28:43 GMT 2025","passed","Wed Aug 06 11:28:49 GMT 2025","TestSignInNegative","negative_test","",""
"","60001","test_your_ratings[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 11:32:12 GMT 2025","broken","Wed Aug 06 11:33:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","67301","test_search_by_companies_category[chromium]","tests.search_bar","Wed Aug 06 11:25:15 GMT 2025","broken","Wed Aug 06 11:26:22 GMT 2025","TestSearchByCompaniesCategory","search_by_companies_category_test","",""
"","66998","test_titles_search2[chromium]","tests.search_bar.advanced_search","Wed Aug 06 11:19:27 GMT 2025","broken","Wed Aug 06 11:20:34 GMT 2025","TestTitlesSearch2","titles_search2_test","",""
"","4095","test_sign_in_negative_no_email[chromium]","tests.sign_in","Wed Aug 06 11:28:49 GMT 2025","passed","Wed Aug 06 11:28:54 GMT 2025","TestSignInNegative","negative_test","",""
"","66615","test_search_by_keywords_category[chromium]","tests.search_bar","Wed Aug 06 11:26:24 GMT 2025","broken","Wed Aug 06 11:27:31 GMT 2025","TestSearchByKeywordsCategory","search_by_keywords_category_test","",""
"","66674","test_titles_search3[chromium]","tests.search_bar.advanced_search","Wed Aug 06 11:20:37 GMT 2025","broken","Wed Aug 06 11:21:43 GMT 2025","TestTitlesSearch3","titles_search3_test","",""
"","60002","test_your_watchlist[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 11:31:12 GMT 2025","broken","Wed Aug 06 11:32:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","66653","test_search_by_all_category[chromium]","tests.search_bar","Wed Aug 06 11:21:46 GMT 2025","broken","Wed Aug 06 11:22:52 GMT 2025","TestSearchByAllCategory","search_by_all_category_test","",""
