"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16862","test_transfer_movie[chromium]","tests.watchlist.your_list.edit_your_list","Tue Aug 05 22:05:12 GMT 2025","broken","Tue Aug 05 22:05:28 GMT 2025","TestTransferMovie","move_movies_between_lists_test","",""
"","16836","test_add_new_watchlist[chromium]","tests.watchlist.your_list","Tue Aug 05 22:03:38 GMT 2025","broken","Tue Aug 05 22:03:55 GMT 2025","TestAddVideosToWatchlist","create_video_list_add_videos_test","",""
"","16905","test_rate_video[chromium]","tests.videos","Tue Aug 05 22:00:30 GMT 2025","broken","Tue Aug 05 22:00:47 GMT 2025","TestRateVideo","rate_video_test","",""
"","17019","test_add_movie_from_top10_to_watchlist[chromium]","tests.watchlist","Tue Aug 05 22:01:17 GMT 2025","broken","Tue Aug 05 22:01:34 GMT 2025","TestAddMovieFromTop10ToWatchlist","add_movie_from_top10_to_watchlist_test","",""
"","16847","test_search_by_titles_category[chromium]","tests.search_bar","Tue Aug 05 21:54:51 GMT 2025","broken","Tue Aug 05 21:55:08 GMT 2025","TestSearchByTitlesCategory","search_by_titles_category_test","",""
"","1147","test_menu[chromium]","tests.top_nav_bar","Tue Aug 05 21:59:35 GMT 2025","passed","Tue Aug 05 21:59:37 GMT 2025","TestMenu","menu_test","",""
"","30001","test_your_ratings[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:56:42 GMT 2025","broken","Tue Aug 05 21:57:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","16953","test_add_new_list_video[chromium]","tests.watchlist.your_list","Tue Aug 05 22:02:03 GMT 2025","broken","Tue Aug 05 22:02:20 GMT 2025","TestAddNewListVideo","add_new_list_video_test","",""
"","30001","test_your_watch_history[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:57:42 GMT 2025","broken","Tue Aug 05 21:58:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","30003","test_your_watchlist[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:56:12 GMT 2025","broken","Tue Aug 05 21:56:42 GMT 2025","TestYourProfile","your_profile_test","",""
"","16956","test_copy_movie_to_watchlist[chromium]","tests.watchlist.your_list","Tue Aug 05 22:04:24 GMT 2025","broken","Tue Aug 05 22:04:41 GMT 2025","TestCopyMovieToWatchlist","delete_movies_from_lists_test","",""
"","17100","test_add_to_watchlist[chromium]","tests.videos","Tue Aug 05 22:00:06 GMT 2025","broken","Tue Aug 05 22:00:23 GMT 2025","TestMarkAsWatched","mark_as_watched_test","",""
"","16790","test_add_new_watchlist[chromium]","tests.watchlist.your_list","Tue Aug 05 22:02:51 GMT 2025","broken","Tue Aug 05 22:03:07 GMT 2025","TestAddActorTolist","create_people_list_add_person_test","",""
"","25232","test_titles_search2[chromium]","tests.search_bar.advanced_search","Tue Aug 05 21:51:53 GMT 2025","passed","Tue Aug 05 21:52:18 GMT 2025","TestTitlesSearch2","titles_search2_test","",""
"","17036","test_transfer_movie_to_watchlist[chromium]","tests.watchlist.your_list.edit_your_list","Tue Aug 05 22:05:35 GMT 2025","broken","Tue Aug 05 22:05:52 GMT 2025","TestTransferMovieToWatchlist","move_movies_to_watchlist_test","",""
"","16798","test_search_by_companies_category[chromium]","tests.search_bar","Tue Aug 05 21:54:04 GMT 2025","broken","Tue Aug 05 21:54:21 GMT 2025","TestSearchByCompaniesCategory","search_by_companies_category_test","",""
"","30002","test_account_settings[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:58:12 GMT 2025","broken","Tue Aug 05 21:58:42 GMT 2025","TestYourProfile","your_profile_test","",""
"","16908","test_create_titles_list_add_video[chromium]","tests.watchlist.your_list","Tue Aug 05 22:03:14 GMT 2025","broken","Tue Aug 05 22:03:31 GMT 2025","TestCreateTitlesListAddVideo","create_titles_list_add_video_test","",""
"","30846","test_titles_search1[chromium]","tests.search_bar.advanced_search","Tue Aug 05 21:51:15 GMT 2025","passed","Tue Aug 05 21:51:46 GMT 2025","TestTitlesSearch1","titles_search1_test","",""
"","16831","test_delete_list[chromium]","tests.watchlist.your_list","Tue Aug 05 22:04:01 GMT 2025","broken","Tue Aug 05 22:04:18 GMT 2025","TestDeleteList","delete_list_test","",""
"","30003","test_your_list[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:57:12 GMT 2025","broken","Tue Aug 05 21:57:42 GMT 2025","TestYourProfile","your_profile_test","",""
"","16768","test_search_by_celebs_category[chromium]","tests.search_bar","Tue Aug 05 21:53:41 GMT 2025","broken","Tue Aug 05 21:53:58 GMT 2025","TestSearchByCelebsCategory","search_by_celebs_category_test","",""
"","15853","test_search_by_all_category[chromium]","tests.search_bar","Tue Aug 05 21:52:55 GMT 2025","passed","Tue Aug 05 21:53:11 GMT 2025","TestSearchByAllCategory","search_by_all_category_test","",""
"","16901","test_your_profile[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:55:55 GMT 2025","broken","Tue Aug 05 21:56:12 GMT 2025","TestYourProfile","your_profile_test","",""
"","16839","test_add_movie_from_explore_section_to_watchlist[chromium]","tests.watchlist","Tue Aug 05 22:00:53 GMT 2025","broken","Tue Aug 05 22:01:10 GMT 2025","TestAddMovieFromExploreSectionToWatchlist","add_movie_from_explore_section_to_watchlist_test","",""
"","17012","test_add_to_watchlist[chromium]","tests.videos","Tue Aug 05 21:59:43 GMT 2025","broken","Tue Aug 05 22:00:00 GMT 2025","TestAddToWatchList","add_to_watchlist_test","",""
"","30002","test_sing_out[chromium]","tests.top_nav_bar.account_menu","Tue Aug 05 21:58:43 GMT 2025","broken","Tue Aug 05 21:59:13 GMT 2025","TestYourProfile","your_profile_test","",""
"","4108","test_sign_in_negative_no_email[chromium]","tests.sign_in","Tue Aug 05 21:55:22 GMT 2025","passed","Tue Aug 05 21:55:26 GMT 2025","TestSignInNegative","negative_test","",""
"","16807","test_add_movie_from_top_picks_to_watchlist[chromium]","tests.watchlist","Tue Aug 05 22:01:40 GMT 2025","broken","Tue Aug 05 22:01:57 GMT 2025","TestAddMovieFromTopPicksToWatchlist","add_movie_from_top_picks_to_watchlist_test","",""
"","6973","test_sign_in_negative_no_password[chromium]","tests.sign_in","Tue Aug 05 21:55:15 GMT 2025","passed","Tue Aug 05 21:55:22 GMT 2025","TestSignInNegative","negative_test","",""
"","16969","test_sign_in[chromium]","tests.sign_in","Tue Aug 05 21:55:32 GMT 2025","broken","Tue Aug 05 21:55:49 GMT 2025","TestSignIn","sign_in_test","",""
"","16979","test_add_new_watchlist[chromium]","tests.watchlist.your_list","Tue Aug 05 22:02:27 GMT 2025","broken","Tue Aug 05 22:02:44 GMT 2025","TestAddImageTolist","create_images_list_add_image_test","",""
"","24064","test_titles_search3[chromium]","tests.search_bar.advanced_search","Tue Aug 05 21:52:25 GMT 2025","passed","Tue Aug 05 21:52:49 GMT 2025","TestTitlesSearch3","titles_search3_test","",""
